Education,Marital Status,Years Employed,Satisfaction
Some college,Divorced,4,4
Some college,Divorced,2,1
Graduate degree,Widowed,26,3
Some college,Married,9,4
Graduate degree,Married,6,4
Graduate degree,Married,10,5
College graduate,Married,4,5
College graduate,Divorced,9,3
Graduate degree,Married,6,5
Graduate degree,Married,1,5
College graduate,Married,4,5
College graduate,Married,2,3
Some college,Married,3,2
Some college,Married,2,3
Graduate degree,Married,4,4
College graduate,Married,5,3
College graduate,Married,15,3
College graduate,Married,12,3
Graduate degree,Single,10,5
Some college,Married,3,4
Some college,Divorced,15,4
Graduate degree,Married,2,5
College graduate,Divorced,20,4
College graduate,Married,18,2
